categorie,question,A,B,C,bonne_reponse,commentaire,source
Cat C - Bases comptables et financieres,Quel principe doivent respecter les comptes annuels d'une entreprise ?,Le principe d'obéissance,Le principe de méfiance,Le principe de prudence,C,"Le principe de prudence exige que les entreprises enregistrent les dettes et les risques dès leur connaissance, minimisant ainsi la surévaluation des actifs ou des revenus. Cela préserve la fiabilité des comptes annuels en reflétant prudemment la situation financière réelle de l'entreprise.","Article L123-20, alinéa 1 c. com"
Cat C - Bases comptables et financieres,Que reflète la CAF ?,La trésorerie potentielle dégagée par l'activité courante de l'entreprise,La part de la valeur ajoutée qui reste dans l'entreprise,La part des investissements financée par l'entreprise,A,"La CAF, ou capacité d'autofinancement, représente les fonds qu’une entreprise génère à partir de ses activités opérationnelles, sans tenir compte des charges financières ou non-récurrentes. Elle montre donc le potentiel de trésorerie que l'entreprise peut utiliser pour s’autofinancer.",Voir fiche N°21 sur le site : http://www4.minefi.gouv.fr/budget/circpdf/f02-21.pdf
Cat C - Bases comptables et financieres,Lequel de ces éléments figure dans le compte de résultat?,Les charges financières,Les immobilisations,Les emprunts,A,"Les charges financières, telles que les intérêts sur les dettes, sont enregistrées dans le compte de résultat, car ce document reflète les performances financières de l'entreprise sur une période en montrant les revenus et les dépenses.",Art. 823-2 du Règlement n°2014-03 relatif au Plan comptable général version consolidée au 1er janvier 2019 - ANC (Autorité des normes comptables)
Cat C - Bases comptables et financieres,Les plus-values de cessions de titres :,Sont soumises aux prélèvements sociaux à partir d'un seuil annuel de cession de 25 000 euros,Sont soumises aux prélèvements sociaux dès le 1er euro de cession,Sont exonérées d'impôt sur le revenu et de prélèvements sociaux s'il s'agit d'actions européennes,B,"Les plus-values réalisées sur la vente de titres, peu importe leur montant, subissent immédiatement les prélèvements sociaux, appliqués sans seuil minimal. Cela garantit que toute augmentation de valeur est systématiquement taxée au moment de la cession.",https://www.legifrance.gouv.fr/affichCode.do?idSectionTA=LEGISCTA000006197215&cidTexte=LEGITEXT000006069577
Cat C - Bases comptables et financieres,Quel est le document de référence qui définit les règles comptables applicables aux sociétés ?,Le Code Général des Impôts (CGI),Le plan comptable général (PCG),Le Code de Commerce,B,"Le Plan Comptable Général (PCG) est le document normatif en France qui établit les règles de comptabilité pour toutes les sociétés, assurant ainsi l'uniformité et la comparabilité des états financiers. Il définit les principes, méthodes comptables et la terminologie financière à utiliser.",Plan Comptable Général - Règlement 2014-03 de l'Autorité des normes comptables
Cat C - Bases comptables et financieres,"Dans le cadre de l'impôt sur le revenu, le quotient familial d'un foyer fiscal est :",Le taux de réduction applicable à l'impôt sur le revenu du foyer fiscal en fonction du nombre de parts du foyer,"Le ratio, revenu imposable divisé par le nombre de parts du foyer, utilisé pour déterminer le taux d'imposition marginal du foyer fiscal",Le taux moyen d'imposition applicable à la somme des revenus du foyer fiscal,B,"Le quotient familial répartit le revenu imposable du foyer selon le nombre de parts, reflétant sa composition. Cela permet d'appliquer le barème progressif de l'impôt de manière adaptée, modulant ainsi le taux d'imposition en fonction de la capacité financière relative du foyer.",Bulletin Officiel des Finances Publiques Article 194 du code général des impôts
Cat C - Bases comptables et financieres,Quelle est la caractéristique de l'impôt sur le revenu des particuliers (IRPP) ?,Il s'agit d'un impôt avec une part proportionnelle et une part progressive,Il s'agit d'un impôt proportionnel,Il s'agit d'un impôt progressif,C,"L'IRPP est qualifié de progressif car son taux augmente en fonction du niveau de revenus du contribuable. Ce système vise à appliquer un taux d'imposition plus élevé aux personnes ayant des revenus plus importants, favorisant ainsi une redistribution des richesses plus équitable.",Site internet gouvernemental Vie publique : https://www.vie-publique.fr/decouverte-institutions/finances-publiques/ressources-depenses-etat/ressources/qu-entend-on-par-proportionnalite-progressivite-impot.html
Cat C - Bases comptables et financieres,"Depuis janvier 2018, la nouvelle assiette de l'impôt sur la fortune est fondée :",Sur l'ensemble du patrimoine au 1er janvier de l'année d'imposition,Uniquement sur l'évaluation du portefeuille boursier au 1er janvier de l'année d'imposition,Uniquement sur l'évaluation du patrimoine immobilier au 1er janvier de l'année d'imposition,C,"L'impôt sur la fortune immobilière (IFI), successeur de l'ISF depuis janvier 2018, cible uniquement le patrimoine immobilier, excluant les actifs financiers. L'évaluation se base sur la valeur du patrimoine au 1er janvier, permettant une imposition juste et actualisée chaque année.",Article 964 du code général des impôts
Cat C - Bases comptables et financieres,"Il permet, par sa simple lecture, de comparer l'actif et le passif d'une entreprise d'une année sur l'autre. De quoi s'agit-il ?",Le bilan,Le compte de résultat,Le rapport annuel,A,"Le bilan dresse la liste des actifs et passifs à une date donnée, facilitant la comparaison annuelle des ressources et obligations financières de l'entreprise pour évaluer son évolution.","C. com. art. L 123-12 / Recueil 2018 des normes comptables françaises - comptes annuels (Règlement n°2014-03 du 5 juin 2014 relatif au plan comptable général),"
Cat C - Bases comptables et financieres,"Pour l'établissement de l'impôt sur les sociétés, sur quelle durée les entreprises peuvent-elles amortir les sommes versées pour la souscription en numéraire au capital de petites ou moyennes entreprises innovantes ?",Trois ans,Dix ans,Cinq ans,C,"L'amortissement sur cinq ans des sommes investies dans le capital de PME innovantes est permis par le dispositif fiscal français pour favoriser l'investissement dans des secteurs à risque et soutenir l'innovation, répartissant ainsi l'avantage fiscal sur une période permettant une déduction étalée et gérable.","Article 217 octies, I, 1° CGI"
Cat C - Bases comptables et financieres,"Dans le bilan, lequel parmi les éléments suivants fait partie du passif ?",Les créances client,Les immobilisations,Le capital social,C,"Le capital social, indiqué au passif du bilan, représente les fonds apportés par les actionnaires ou associés. Il est classé comme passif parce qu'il constitue une dette de l'entreprise envers ses propriétaires jusqu'à sa dissolution ou remboursement.",Plan comptable général de l'Autorité des Normes Comptable Livre I Titre III Chapitre 1 section 1
Cat C - Bases comptables et financieres,La valeur ajoutée mesure :,La différence entre le prix du stock en début d'exercice et en fin d'exercice,La collecte des taxes effectuée par l'entreprise pour compte de l'Etat,La richesse brute créée par l'entreprise dans le cadre de son activité,C,"La valeur ajoutée correspond à la différence entre la production totale de l'entreprise et les consommations intermédiaires utilisées pour cette production. Elle représente donc la richesse effectivement créée par l'entreprise, excluant les inputs achetés à l'extérieur.",Définition
Cat C - Bases comptables et financieres,Une société soumise à l'impôt sur les sociétés (IS) qui détient des parts ou actions d'OPC :,Est exonérée d'imposition sur les plus-values latentes sur les parts ou actions d'OPC qu'elle détient à la clôture de l'exercice,Bénéficie d'un sursis d'imposition jusqu'à la revente des parts ou actions d'OPC,Est imposée sur les plus-values latentes sur les parts ou actions d'OPC qu'elle détient à la clôture de l'exercice,C,"Les sociétés sous IS doivent évaluer et déclarer les plus-values ou moins-values latentes sur actions d’OPC à la fin de chaque exercice fiscal, influence directe sur leur imposition, les augmentations de valeur des parts étant imposables même non réalisées.",CGI art. 209-0 A
Cat C - Bases comptables et financieres,A partir de quel document sont calculés les SIG - Soldes intermédiaires de gestion ?,Du compte de résultat,Du bilan,Des états de trésorerie,A,"Les SIG sont calculés à partir du compte de résultat car ils analysent la formation du résultat de l'exercice à partir de ses différentes composantes (production, valeur ajoutée, excédent brut d'exploitation, etc.), éléments que l'on retrouve détaillés dans le compte de résultat.",Plan comptable Tableau n° 523-7 des SIG
Cat C - Bases comptables et financieres,"En cas de retrait, la fiscalité des gains générés dans le cadre du PEA :",Diffère selon la durée de détention du PEA,Diffère selon la nature des titres concernés par ces gains (actions ou obligations),"Est identique, quelle que soit la durée de détention du PEA",A,"La fiscalité des gains du PEA est allégée avec le temps : 0% d'impôt sur le revenu après 5 ans, tandis que les retraits avant cette période sont taxés plus lourdement. Cela incite à un investissement à long terme.",Article 150-0 A paragraphe II du code général des impôts (retrait avant 5 ans) et Article 157 du code général des impôts (retrait après 5 ans)
Cat C - Bases comptables et financieres,Les moins-values constatées la même année sur des actions françaises ne peuvent pas se compenser fiscalement avec des plus-values réalisées sur :,Des obligations françaises,Des biens immobiliers,Des SICAV monétaires,B,"En France, les règles fiscales différencient les plus-values réalisées sur les actions, qui relèvent des plus-values mobilières, de celles sur les biens immobiliers, considérées comme des plus-values immobilières. Ces catégories étant distinctes, les moins-values sur actions ne peuvent compenser les plus-values sur l'immobilier.",CGI art. 150-0 A à 150-0 D
Cat C - Bases comptables et financieres,Le taux marginal le plus élevé de l'impôt sur le revenu (IR) est actuellement de :,"0,4","0,45","0,5",B,"En France, le barème progressif de l'impôt sur le revenu inclut plusieurs tranches, la plus élevée étant de 45% pour les revenus les plus importants. Ce taux s'applique aux portions de revenu dépassant un certain seuil fixé par la loi fiscale.","Article 197, I CGI"
Cat C - Bases comptables et financieres,Comment sont évaluées les parts ou actions d'organismes de placement collectifs (OPC)pour la détermination du résultat comptable d'une entreprise ?,A leur valeur nominale,A la valeur liquidative à la clôture de l'exercice,A la valeur liquidative moyenne de l'exercice considéré,B,"Les parts d'OPC sont évaluées à la valeur liquidative, c'est-à-dire la valeur nette d’inventaire ajustée des actifs moins les passifs divisée par le nombre de parts, reflétant leur valeur réelle au moment de clôturer les comptes annuels de l'entreprise.",Art 209-0 A 1° du Code Général des Impôts
Cat C - Bases comptables et financieres,Les dettes d'une entreprise s'enregistrent :,Dans le compte de résultat,A l'actif du bilan,Au passif du bilan,C,"Les dettes sont des obligations financières qu'une entreprise doit rembourser. Dans la comptabilité, elles sont enregistrées au passif du bilan car elles représentent les sources de financement externe que l'entreprise doit à des tiers.",vernimmen 2020 chap 4
Cat C - Bases comptables et financieres,"A partir de quel seuil, la déclaration de franchissement doit-elle être accompagnée d'une déclaration d'intention ?","33, 33% ou le tiers du capital",5% ou le vingtième du capital,10% ou le dixième du capital,C,"La réglementation financière exige souvent que les investisseurs révèlent leurs intentions après avoir acquis une part significative d'une entreprise, ici quantifiée à 10% ou plus, pour assurer la transparence et prévenir d'éventuelles prises de contrôle hostiles ou manipulations de marché.",L 233-7 du code de commerce
Cat C - Bases comptables et financieres,Font l'objet d'une imposition commune à l'impôt sur la fortune immobilière (IFI) :,"Les couples mariés, sauf exception, les partenaires pacsés et les concubins notoires","Uniquement les couples mariés, sauf exception","Uniquement les couples mariés, sauf exception, et les partenaires pacsés",A,"En France, les couples mariés et les partenaires pacsés sont traités comme une seule entité fiscale pour l'IFI, sauf en cas d'imposition séparée choisie ou obligatoire par divorce par exemple. Les concubins notoires sont également considérés comme un foyer fiscal unique selon l'administration fiscale pour cet impôt.","Article 964, 2°, alinéa 2 et 3 CGI"
Cat C - Bases comptables et financieres,L'IFI (Impôt sur la Fortune Immobilière) est l'impôt qui remplace :,Les impôts fonciers,La taxe d'habitation,L'ISF (Impôt de Solidarité sur la Fortune),C,"L'IFI a été introduit en 2018 pour cibler uniquement les richesses immobilières, remplaçant ainsi l'ISF qui englobait plus largement le patrimoine global des contribuables.",Art n°964 à 983 Code Général des Impôts
Cat C - Bases comptables et financieres,"Comptablement, où sont inscrits les amortissements et les dépréciations ?",Au passif dans les dettes d'exploitation,Dans le hors bilan,A l'actif en diminution de la valeur des éléments correspondants.,C,"Les amortissements et dépréciations réduisent la valeur comptable des actifs sur le bilan, reflétant leur usure ou perte de valeur au fil du temps. Ils sont donc inscrits à l'actif, diminuant directement la valeur des éléments d'actif concernés.",Article R. 123-179 du Code de commerce
Cat C - Bases comptables et financieres,"En France, quelle est la nature du barème de l'impôt sur le revenu ?",Progressif,Forfaitaire,Proportionnel,A,"En France, le barème de l'impôt sur le revenu est progressif car le taux d'imposition augmente selon les tranches de revenus, permettant ainsi de taxer plus fortement les hauts revenus comparativement aux revenus plus faibles.",Voir le site : https://www.vie-publique.fr/decouverte-institutions/finances-publiques/ressources-depenses-etat/ressources/qu-est-ce-que-impot-revenu.html
Cat C - Bases comptables et financieres,"Le 'document de référence' est un document qui regroupe des informations détaillées sur l'activité, la situation financière et les perspectives d'une société. Pour les sociétés dont les actions sont admises sur un marché réglementé ou un système multilatéral de négociation organisé, il est :","Obligatoire, publié tous les mois et doit être enregistré auprès du Greffe du Tribunal de Commerce","Facultatif, publié une fois par an",Obligatoire et réservé à l 'Autorité des Marchés Financiers qui doit le recevoir une fois par an,B,"Le document de référence, bien qu’il fournisse des informations complètes sur une entreprise, n’est pas obligatoire. Les sociétés cotées peuvent choisir de le publier annuellement pour proposer un aperçu détaillé et transparent de leur activité à leurs investisseurs.",Article 212-13 RG AMF
Cat C - Bases comptables et financieres,"Parmi les informations périodiques indiquées ci-dessous, quelle est celle qui doit être publiée et déposée auprès de l'AMF par les émetteurs français dont les titres sont admis sur un marché réglementé ?",Un rapport financier annuel dans les quatre mois qui suivent la clôture de l'exercice,Un rapport financier trimestriel dans les 15 jours qui suivent la fin d'un trimestre civil,Un bilan prévisionnel dans les 6 mois qui suivent la clôture de l'exercice,A,La régulation des marchés financiers impose aux émetteurs de titres la publication d'un rapport financier annuel pour garantir la transparence et protéger les investisseurs. Ce rapport offre un aperçu complet et actualisé de la situation financière de la société.,amf-France.org/ Les obligations d'information des émetteurs et des investisseurs
Cat C - Bases comptables et financieres,"Comment est imposé le bénéficiaire d'un contrat d'assurance-vie, lors du dénouement de ce contrat par décès de l'assuré ?",Le bénéficiaire est toujours exonéré de la totalité des droits de mutation à titre gratuit,Le bénéficiaire doit acquitter la totalité des droits de droits de mutation à titre gratuit dûs dans les conditions de droit commun,Le bénéficiaire est exonéré de droits de mutation à titre gratuit dans certaines limites et sous certaines conditions,C,"Les sommes reçues par le bénéficiaire d'un contrat d'assurance-vie suite au décès de l'assuré sont généralement non imposables jusqu'à des seuils spécifiques, après quoi des taxes peuvent s'appliquer selon le lien de parenté et la date de souscription du contrat.",Article 757 B du CGI
Cat C - Bases comptables et financieres,Les intérêts d'un compte à terme sont imposables :,Au PFU sans option pour le barème de l'IR,Au PFU ou sur option globale au barème de l'IR,Sont exonérés de toute imposition,B,"Les intérêts générés par un compte à terme sont considérés comme des revenus de capitaux mobiliers, soumis au Prélèvement Forfaitaire Unique (PFU), fixé à un taux global. L'option du barème progressif de l'impôt sur le revenu (IR) permet d'intégrer ces revenus à l'ensemble des autres revenus du contribuable si cela est plus avantageux.",CGI art. 200 A
Cat C - Bases comptables et financieres,Le taux de rentabilité des capitaux propres correspond :,Au solde d'exploitation divisé par les capitaux propres,Au résultat net divisé par les capitaux propres,Au chiffre d'affaires divisé par les capitaux propres,B,"Le taux de rentabilité des capitaux propres (ROE) mesure la capacité d'une entreprise à générer un bénéfice à partir de ses fonds propres. En divisant le résultat net par les capitaux propres, on obtient le pourcentage de retour financier que l'entreprise réalise pour ses actionnaires.","Ouvrage Finance d'entreprise 2019 - Pierre vernimmen, Pascal Quiry, Yann Le fur - Editions Dalloz, chapitre 14 - L'analyse de la rentabilité comptable, point 14.5"
Cat C - Bases comptables et financieres,A quel type de titres s'applique la taxe sur les transactions financières ?,A l'acquisition de tout titre de capital quelque soit son marché,A l'acquisition de titres de capital cotés et émis par une société française dont la capitalisation boursière dépasse 1 milliards d'euros,A l'acquisition de tout titre de capital au-delà d'un seuil fixé chaque année par le Ministère de l'économie,B,"La taxe sur les transactions financières vise à réguler les marchés et générer des revenus fiscaux, en ciblant spécifiquement les actions des grandes sociétés pour éviter un impact excessif sur les petites entreprises et stabiliser le marché financier en décourageant la spéculation excessive.",Article 235 ter ZD du Code Général des Impôts
Cat C - Bases comptables et financieres,Quelles entités parmi les suivantes réalisent des Bénéfices Non Commerciaux (BNC) ?,Les associations (Loi 1901),Les professions libérales,Les entreprises industrielles,B,"Les professions libérales, comme les avocats, médecins ou consultants, fournissent des services professionnels basés sur leurs qualifications spécifiques. Leurs revenus proviennent de leur expertise personnelle, ce qui est caractéristique des Bénéfices Non Commerciaux (BNC), à différencier des activités commerciales, industrielles ou artisanales.",Voir le site : https://www.service-public.fr/professionnels-entreprises/vosdroits/F32105
Cat C - Bases comptables et financieres,Les dividendes perçus par un contribuable sont imposables au titre de l'IR :,"A un prélèvement forfaitaire de 12,8 % ou, sur option globale, au barème progressif de l'impôt sur le revenu",A un prélèvement forfaitaire libératoire au taux de 21 %,A un prélèvement forfaitaire libératoire au taux de 24 %,A,"Les dividendes sont considérés comme un revenu de capitaux mobiliers. En France, ils sont soumis soit à un prélèvement forfaitaire unique de 12,8% pour simplifier et uniformiser la fiscalité, soit, si le contribuable opte pour cela, au barème progressif traditionnel de l'impôt sur le revenu qui peut être plus favorable selon sa situation financière.","CGI, art. 200 A"
Cat C - Bases comptables et financieres,Le visa apposé par l'AMF sur l'information établie par une société dans le cas d'une introduction en bourse:,Atteste que tous les éléments nécessaires pour décider de l'acquisition de titres de la société sont bien mis à la disposition du public,Constitue une authentification des résultats comptables et financiers présentés,Constitue une recommandation de participer à l'opération,A,"Le visa de l'AMF garantit que l'information fournie par la société est complète et transparente, permettant ainsi aux investisseurs de prendre une décision éclairée sur l'achat d'actions lors de l'introduction en bourse.",COMOFI Livre II RG AMG Livre II
Cat C - Bases comptables et financieres,"Sauf cas particulier, les revenus financiers perçus par une société anonyme sont :",Soumis à des droits d'enregistrement,Imposés à un taux différent par rapport à celui des autres produits réalisés par la société,Incorporés parmi les autres produits réalisés et imposés à l'impôt sur les sociétés,C,"Les revenus financiers, tels que les intérêts ou dividendes, s'ajoutent aux autres revenus d'une société anonyme. Ils forment ainsi une partie du résultat fiscal global, qui est sujet à l'impôt sur les sociétés.","Article 205 du code général des impôts (impôt sur les sociétés portant sur l'ensemble des bénéfices et des revenus réalisés) et article 206 du code général des impôts (sociétés assujetties à l'IS, notamment les sociétés anonymes)"
Cat C - Bases comptables et financieres,Le bénéfice des sociétés est soumis :,A l'impôt sur les sociétés ou à l'impôt sur le revenu selon le statut de l'entreprise concernée,"A l'impôt sur les sociétés, pour les seules sociétés réalisant plus de 15 000 € de bénéfices","A l'impôt sur les sociétés, sauf pour les filiales étrangères implantées en France",A,"Les entreprises sont imposées selon leur forme juridique. Les sociétés par actions paient l'impôt sur les sociétés, tandis que les entreprises individuelles ou certaines autres formes peuvent être imposées via l'impôt sur le revenu des propriétaires.",https://www.impots.gouv.fr/portail/professionnel/imposition-des-resultats
Cat C - Bases comptables et financieres,Quelle est la société dont les bénéfices sont soumis de plein droit (sans option) à l‘impôt sur les sociétés ?,La SNC (Société en Nom Collectif),La SA (Société anonyme),L'EURL (Entreprise unipersonnelle à responsabilité limitée) dont l'associé est une personne physique,B,"La SA est une forme juridique considérée par défaut comme assujettie à l'impôt sur les sociétés, un régime fiscal appliqué aux bénéfices des sociétés, exemptant les actionnaires de taxation individuelle sur ces bénéfices.",Article 206 du CGI
Cat C - Bases comptables et financieres,Quelle est la fonction de l'amortissement?,Constater une perte de valeur passagère des actifs,Diminuer le montant d'une dette,Constater l'usure des actifs immobilisés,C,"L'amortissement reflète la dépréciation des actifs liée à leur utilisation ou au passage du temps, ce qui aide les entreprises à évaluer le coût réel des actifs sur leur durée de vie utile et impacte les résultats financiers de manière étalée.",Article R. 123-179 du code de commerce
Cat C - Bases comptables et financieres,Laquelle des trois propositions correspond à la définition suivante ? 'Recense l'ensemble des flux qui modifient positivement ou négativement le patrimoine de l'entreprise pendant une période donnée' .,Le bilan,Le compte de résultat,Le rapport de gestion,B,"Le compte de résultat détaille les revenus et charges sur une période, montrant comment ces flux financiers affectent le gain ou la perte nette, donc le patrimoine de l'entreprise.",http://www.vernimmen.net/html/glossaire/definition_compte_de_resultat.html
Cat C - Bases comptables et financieres,Quel est le nombre de parts à prendre en compte pour le calcul du quotient familial d'un couple marié ayant 3 enfants mineurs à charge ?,5 parts,"3,5 parts",4 parts,C,"Dans le système fiscal français, un couple marié est alloué 2 parts. Chaque enfant à charge ajoute une demi-part jusqu'au deuxième enfant. Pour trois enfants mineurs, cela donne 2 parts pour les parents, 0,5 part pour le premier enfant, 0,5 part pour le second et 1 part pour le troisième, totalisant 4 parts.",Article 194 du CGI
Cat C - Bases comptables et financieres,Un 'profit warning' est un avertissement sur les résultats qui doit se faire quand ils sont :,Uniquement à la hausse,Uniquement à la baisse,L'un ou l'autre,C,"Un ' profit warning ' est émis lorsque les résultats financiers d’une entreprise devraient être significativement meilleurs ou pires que prévu. Cette flexibilité permet d'alerter les investisseurs à la fois en cas de performances exceptionnellement bonnes ou mauvaises, aidant ainsi à maintenir la transparence du marché.",Dictionnaire des marchés financiers - Ed De Boeck - page 476
Cat C - Bases comptables et financieres,"Lorsqu 'un investisseur détient un Plan d 'Epargne en Actions (PEA), les plus-values réalisées :",Sont imposables selon le régime de droit commun si l 'on clôture le PEA avant 5 ans,Sont imposables selon le régime des plus-values mobilières si l 'on clôture le PEA avant 5 ans,Ne sont pas imposables mais sont soumises aux prélèvements sociaux,B,"La fiscalité des PEA prévoit une exonération des plus-values sous condition de ne pas retirer les fonds avant 5 ans. Si le retrait intervient plus tôt, les gains sont taxés comme des plus-values mobilières classiques, avec imposition selon les taux en vigueur.",Article 150-0 A du Code Général des Impôts
Cat C - Bases comptables et financieres,"En cas de non respect des déclarations de franchissement de seuil, les actions dépassant la fraction qui aurait dû être déclarée, sont :",Revendues immédiatement,Mises sur un compte spécifique en attendant la régularisation,Privées de droit de vote pendant deux ans suivant la date de régularisation,C,"Lorsqu'un investisseur dépasse un seuil de participation dans une entreprise sans le déclarer, il enfreint les règles de transparence. La sanction de priver ces actions de droit de vote assure le respect de ces règles et maintient l'équilibre et la justesse des pouvoirs au sein de l'entreprise.",L 233-14 Code de commerce
Cat C - Bases comptables et financieres,Les sorties en rentes viagères des contrats d'assurance vie sont :,Totalement exonérées d'impôt sur le revenu,Totalement imposées à l'impôt sur le revenu,Imposées à l'impôt sur le revenu pour une fraction qui dépend de l'âge du crédirentier au moment du premier versement de la rente,C,"Les rentes viagères issues de contrats d’assurance vie sont partiellement fiscalisées car elles sont considérées comme un revenu. La part imposable dépend de l'âge du bénéficiaire au début des versements, reflétant le principe que plus une personne est âgée, moins la période de paiement est prévue longue, impactant ainsi la part imposable.",CGI art158
Cat C - Bases comptables et financieres,"Dans le bilan d'une société, le passif représente :",L'ensemble des charges à payer,Uniquement les dettes,L'ensemble des ressources (capitaux propres et dettes),C,"Le passif dans un bilan comptable regroupe toutes les sources de financement de l’entreprise, incluant les capitaux propres (fonds apportés par les propriétaires) et les dettes (fonds empruntés). Il rend compte de l’origine des fonds utilisés par l’entreprise.",vernimmen 2020 chap 4
